name,city_contact,country_contact,city_creator,country_creator,deliveryPoint_creator,west,east,north,south
0d2ffb7217256f12c3056bfc2538fb57c5531349.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
0dde12a5895588514cae11116c7c86018459bccf.xml,Albuquerque,USA,Albuquerque,US,"UNM Dept of Biology, MSC03 2020",NA,NA,NA,NA
0dee77fb4d3770744bc9fc4c74c98bfd31f8a6f2.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.31389,-148.2549125,64.74167,64.69889576
0eb4b72d9d637ea5e5f2c4464591c2512d407446.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
0ebd38b851c36ad371ec340cac95cca5807ba57e.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
0ec50691c5cba79966094246b340b39f2cfc605e.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
0f8dba36c217e33022e9981f7743ebc3.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.16815000,-122.16381000,44.22146666,44.21566200
101a38c01943cefb5636e7bbae43bcda235832fe.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.16815000,-122.16381000,44.22146666,44.21566200
103721b9def3bbf043178713bdb6dcd6078b7f28.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.7666796,64.67834557
1065eea91cd432eae528630382ff454fa98a7a69.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.26172200,-122.26172200,44.28196400,44.28196400
1073dcdae8715c5be251c204c666ec909bb6ce80.xml,Fairbanks,USA,Fairbanks,United States,"Department of Biology and Wildlife, University of Alaska Fairbanks, Murie Building",-148.2682,-148.2964,64.7088,64.6991
1080741a59752e4fa1607562b617105fcf78de72.xml,Fairbanks,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.3537914,-148.1468545,64.76810641,64.67834557
10d8b97da1cdc7ffeca1e357a5d53fee2db60f2b.xml,Albuquerque,USA,NA,NA,NA,-72.393,-71.982,+42.541,+42.296
11086ec5837e47cf35382263e05837d37fb4ad14.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.19019100,-122.19019100,44.23285200,44.23285200
11b1735c4252ba83e9cb9baa7ad9957685714e48.xml,Albuquerque,USA,Fairbanks,United States,"Department of Biology and Wildlife, University of Alaska Fairbanks, Murie Building",-148.2682,-148.2964,64.7088,64.6991
12dbe1093644ee743fccfe6caa4310c6.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
1355d15e79ebda0e7b936d85ea46524ff82d2ac2.xml,Albuquerque,USA,Fairbanks,United States,"Department of Biology and Wildlife, University of Alaska Fairbanks, Murie Building",-148.2682,-148.2964,64.7088,64.6991
13afc512cd050eb66f4d586df08e9481.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
143f2814b3d4dcc7d4608c38b3636daf.xml,Fairbanks,USA,Corvallis,United States,8080 NW Ridgewood Drive,-148.32123,-148.2854,64.76594,64.69559
148eff89ae8824542cbcfdeb5f9105ff.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
14bedaa74e86867a97030cacbfcb3d5d1b59a95a.xml,Albuquerque,US,Albuquerque,US,"UNM Dept of Biology, MSC03 2020",NA,NA,NA,NA
158fe958ffb9b162a1049b17fb586132.xml,Truckee,USA,NA,NA,NA,NA,NA,NA,NA
15a50445861ad0d384731367883c2ac0f4b10775.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
16ff0f0e8c1f9c05ffb4fb36fdc43ba71fff16bc.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
170fe3d35810e1dee8266f135cb1d43e.xml,Fairbanks,USA,Fairbanks,United States,Institute of Arctic Biology  University of Alaska Fairbanks P.O. Box 757000,-148.1734,-148.17303,64.41417,64.41366
1829a39e3b0d9b2d56e2d0cffadecc3a5078faa2.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
193557650fab2bccc66935a35e62894253626417.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
195bc3ceb4c3a53756a1a2dc5c442244072a3539.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
19a19bee93a177eee19c8b34bb7ef88bf176eb91.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
19ed77b8edb179095f0c5ee06d876945.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
1a0059cb2314c139d8b69f3dd7e0fb15.xml,Petersham,USA,NA,NA,NA,-72.23,-72.16,+42.45,+42.55
1a9f774957e3aa9329a988ca6d20470437fbd93a.xml,Fairbanks,USA,Fairbanks,United States,"School of Natural Resources and Agricultural Sciences, University of Alaska Fairbanks, P.O. Box 757200",-151.55806,-141.1070868,67.9269131,60.11494602
1bdafd8968914e3b11776a6b3246474d.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
1c1bee228c321160726f5e89331d3329bbc51f70.xml,Fairbanks,USA,Fairbanks,United States,Institute of Arctic Biology  University of Alaska Fairbanks P.O. Box 757000,-149.06571,-143.22145,64.41417,63.01548
1c26b409b9706d5b25ff1e1d2ae64a64.xml,Fairbanks,USA,NA,NA,NA,-148.2640747,-147.4913325,65.15393372,64.68195711
1d1c1e7aa8063b05f6645e373cdee87e.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
1dd4bed4b5702cc57e0c9d6e994b67fa9eecf017.xml,Albuquerque,USA,NA,NA,NA,-72.22,-72.21,+42.48,+42.47
1f972ddf6f462fd6fc593406ff14ce85d945646a.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.26172200,-122.10084700,44.28196400,44.19770400
201298a9fff3a46d94b8fd91163b70a6d2736a94.xml,Fairbanks,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.3537914,-148.1468545,64.76810641,64.67834557
20265235f912a23fcfc50759705e84c2.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
202e7839ed39c31852bc960e8d2012a0.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
20b0d23ec55391412008520f1c67070c.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
20c71833fd3480b9d2fbecf89118e4eb.xml,Albuquerque,NA,Albuquerque,NA,"Department of Biology, MSC03 2020, 1 University of New Mexico",NA,NA,NA,NA
2102c0bfc1973c57d53402cca38dfc2758011de8.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.43270000,-121.86768530,45.84017138,44.16920000
21630cbac2c1425475c6d777554f93d102e88c37.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
21be6a27a1decbdb44d0cdcd7b1a68ef.xml,Corvallis,NA,NA,NA,NA,NA,NA,NA,NA
226285355a8370e7ecd2ba430eaf2b2a.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
22ee85770f4dda121f9ca75ae4fd382eff4ac354.xml,Albuquerque,USA,NA,NA,NA,NA,NA,NA,NA
23861806501d7564460ce2766cd62847.xml,Bangalore,India,NA,NA,NA,76.5292,76.5292,11.5967,11.5967
23a4ffaac7ac3d8f6a640bef0bfdd027b7077e7e.xml,Albuquerque,USA,NA,NA,NA,-148.3790685,-148.1426888,64.7666796,64.6719571
24318a11940f69d5a77c6e6411610e718a848782.xml,Fairbanks,USA,NA,NA,NA,-148.3790685,-148.1426888,64.7666796,64.6719571
24db3e20049c602c5f12d22765273f6bd6306119.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.31389,-148.2549125,64.74167,64.69889576
24f3e13d656e5f3813264d793a5fc4a5a19854a7.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.7666796,64.67834557
2518919b00caed6ec2f30b0e36820296.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.7666796,64.67834557
25d6f9b2e80d5b6e91099c75b81f44f361eaadc8.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
26460ccb75592a0259e8a5b75f8f43bd9eac81bb.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.26077300,-122.11159200,44.28199700,44.20198200
2685af99d78027ac73206809650d2c49.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
27b9804aa9e788bd5817e2683435138e.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
2816a5a065717fdd007027a56d57d7ec33c533a6.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
2868aecfeb4e49261bf1d604bdfd6ee7.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
2a63da9b43155569d0dbc6355c30a92c735d5924.xml,Albuquerque,USA,Albuquerque,United States,Long Term Ecological Research - Network Office Department of Biology  University of New Mexico,NA,NA,NA,NA
2a68f417b8abd4ab2bda8b9bd5ae7cceae52dfef.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.26172200,-122.10084700,44.28196400,44.19770400
2ace90ce2944ff0fdf739b46f18fc70b.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
2bb0d4a1b30a38d7185ca4dc742964f2.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c1c9256d1cbd1ea82ace9c74a2e976301a6aec4.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.25800000,-122.11200000,44.27700000,44.20800000
2c478ffceb83ffc41b4f2d18d6395b1370960160.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
2ca475590bb3934912e4e6d2769d41f461b0669c.xml,Albuquerque,USA,NA,NA,NA,-72.393,-71.982,+42.541,+42.296
2cafa485ea3228a0289794ddaf50fde3.xml,Corvallis,USA,NA,NA,NA,NA,NA,NA,NA
2db193ff2ede0815886e544b2274827c4516a0fb.xml,Albuquerque,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.31389,-148.31389,64.74167,64.74167
2df012c97e5f41fc46fe2cfafabb0799.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
2ec63868ae44bd932e0a043469af739b974f8e83.xml,Albuquerque,USA,NA,NA,NA,NA,NA,NA,NA
2ed9210a72431eef44ea2e300064bc1a14b6937a.xml,Fairbanks,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.3537914,-148.1468545,64.7666796,64.67834557
2f7b0d78c7752c435c27bd39b7e6ec33.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
2fbc358d595e3649a5bf9483922b7f83a4ca8c12.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory; Department of Forest Sciences; SNRAS; University of Alaska Fairbanks,-148.3790685,-148.1468545,64.7666796,64.6719571
3041aa8dc7691726fdf69f0b2b29c360ca819f51.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
334554da45419e0c9d1609789a2f8228.xml,Amherst,USA,NA,NA,NA,-71.92306,-72.47918,+42.72851,+42.30162
33701c0c9dade4f1c295fe4db402287d5fbe379a.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.25683100,-122.23581300,44.20851700,44.19901700
34d2e6468ed2a7c01cc02284eb46b406.xml,NA,NA,Albuquerque,NA,"Department of Biology, MSC03 2020, 1 University of New Mexico",NA,NA,NA,NA
352565612ec5224f01b90c4a80c845bc.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
368761febafb81c10b1d736bae85f266.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,0.00000000,0.00000000,0.00000000,0.00000000
370d6d6e4b92c3c9c0b7553ed30b357fa6d695c2.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.2482407,-148.2482407,64.69779026,64.69779026
37c2adf2ef2e62812bd0488e9079f1cbf3b6187c.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.7666796,64.67834557
38465b8173b07834266a70c366991085ef23a4e8.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.76810641,64.67834557
386610048326b48b017e744b867615178487f089.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.16815000,-122.16381000,44.22146666,44.21566200
3922744e34a89ce99005c7f751f1df83.xml,Corvallis,USA,NA,NA,NA,NA,NA,NA,NA
3942372ba40e3d8c92c3a10ac7d21c95.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
39da0323aeccd41bb11abab90e831486.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.19019100,-122.19019100,44.23285200,44.23285200
3ab89c7d30f4c4ba480a16b88012cd31f188ba25.xml,Amherst,USA,NA,NA,NA,-71.92306,-72.47918,+42.72851,+42.30162
3af0d34e84f1999ed09067c7f7d0a2b1.xml,Santa Barbara,United States,Santa Barbara,USA,Marine Science Institute,NA,NA,NA,NA
3b56820f77270d4b4f30f41e270cb6a5207c0fbb.xml,Fairbanks,USA,Brownsville,United States,"Department of Biological Sciences, University of Texas-Brownsville, One West University Blvd, LHSB 2.810",161.44672,161.49712,68.7431,68.75601
3c70628055759372719dcac006a926a08e4829c2.xml,Petersham,USA,NA,NA,NA,NA,NA,NA,NA
3c8c603302365b5fdaa526ad2909e19e.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-121.98988694,-121.98988694,43.76596138,43.76596138
3d1482c063f6c54a4fb078bf4c783e26.xml,NA,NA,Albuquerque,NA,"Department of Biology, MSC03 2020, 1 University of New Mexico",NA,NA,NA,NA
3d2dd9ad9dda6ec24c8174f5711701e9.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
3db0ed0893488cf1b7614d7be4ffc515.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,0.00000000,0.00000000,0.00000000,0.00000000
3eef239d83c9d77fd7fa7c3a0182b059.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
3f0355fca8a46375c090b87521866f16.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
3f8bec8dcec697eda8ec7a0931ef1eb0.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.25800000,-122.11200000,44.27700000,44.20800000
41456d1f6d28e0f575421a27bd43ed0286f4f8f1.xml,Redding,USA,NA,NA,NA,-72.393,-71.982,+42.541,+42.296
41676f0b26f251018c4feeecf510238f2d77b3d6.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
4173a0927a8a484ab04f7272424c3fe0.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
41ad408ec06cb2f08ac4ad8fbc8c662f52b32648.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.15208820,-122.12605670,44.28020840,44.20308930
42b95b132a2125b491b3ed22ef86ab14a201e12f.xml,Fairbanks,USA,Corvallis,United States,8080 NW Ridgewood Drive,-148.233156,-148.233156,64.748597,64.748597
4497530dd9aa4380928ab29e506c11a0cbf83fa4.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
44f5ee91cf5c47280960018c92ce6572638b59ec.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.15208820,-122.12605670,44.28020840,44.20308930
454dfcdd14cb2941c7d3601523552d9b.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
45b40f082df0bce221fd1ecf281eb71db08d412a.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.26172200,-122.10084700,44.28196400,44.19770400
4621d4c871d2e90cdb404e516e58a1c3.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
46561a335d2a3a2f766cdbe4b2808f02.xml,NA,NA,Albuquerque,NA,"Department of Biology, MSC03 2020, 1 University of New Mexico",NA,NA,NA,NA
47413a5d83cac9cd03c7047ee87ba3429bdc9730.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory; Department of Forest Sciences; SNRAS; University of Alaska Fairbanks,-148.264909,-148.1532447,64.7050112,64.6719571
4784e8122fd52b9c4959b049e16d82750afa2297.xml,Albuquerque,USA,Fairbanks,United States,"Department of Biology and Wildlife, University of Alaska Fairbanks, Murie Building",-148.2682,-148.2964,64.7088,64.6991
47bb45e513f8729e72db90e8c08296bff4743476.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
480bcded43263930a6a55fde98656d61.xml,Fairbanks,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.31389,-148.31389,64.74167,64.74167
48567d35f9f20e774820363dfb1ba4c3d5648826.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.76810641,64.67834557
497b12ace9f0351108700848c0355263.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
4a5dffe916e2d97f333047e0bb63422b487caac2.xml,Albuquerque,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.3537914,-148.1468545,64.7666796,64.67834557
4cb8da34bb1d7ef5c4993cc6d9950c821655a484.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
4d92ae6ac382fa2ed906a32d62542b87.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.26172200,-122.10084700,44.28196400,44.19770400
4dab56b76acd5fd0ce348011b4641046eb64658c.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
4e8811be57576d3d201d61bba01ec0642cbacfcd.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
4f119bca09aeaaa7756379478c1bfd8aed8ca033.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
4f5e9d541f0b26595aa623f1cff7ed15.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.16815000,-122.16381000,44.22146666,44.21566200
4f8f17968376d3a871997b9fa00069f7d74a9e81.xml,Albuquerque,USA,NA,NA,NA,NA,NA,NA,NA
503beb0d5c97938685325d6070a90df4deb8333d.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.16815000,-122.16381000,44.22146666,44.21566200
53a921993ea4bbedbc028ae1631a313d264233fe.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
53bfc63e57329e4f8e92c191c11a0eb3.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
540a9f290d41734174ad6a8aa7eefd162d40e29b.xml,Fairbanks,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.3537914,-148.1468545,64.76810641,64.67834557
549f2707ed707908bca9bfb3683ee0fd.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
54a94eff55744c76d504335517d39ebbaea44350.xml,Petersham,USA,NA,NA,NA,NA,NA,NA,NA
54e7ac2d5f772fd126f0ebd10c795f9419175693.xml,Albuquerque,USA,NA,NA,NA,NA,NA,NA,NA
54f26a4891bdf5aa6c74ee3251b0aaa041d09294.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.76810641,64.67834557
557edd069a2d11aa507d6fc38fafe9eb.xml,Corvallis,USA,NA,NA,NA,NA,NA,NA,NA
559727f78eea56d7de906583bf5eed8b9157c02a.xml,Fairbanks,USA,Fairbanks,United States,Department of Biology and Wildlife;  Institute of Arctic Biology:  University of Alaska Fairbanks 193 Arctic Health P.O. Box 757000,-148.31389,-148.31389,64.74167,64.74167
55a7c4219f7e30d4c299ae2f67972b63.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.31389,-148.2549125,64.74167,64.69889576
55fed8ae84e84f0cdd1f6b287ab125ba.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
56b3e314bb163b54e0f64171decb05b3.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
56bf6764ee0c6a12f44a49356126e21f2c8ca544.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
5838657563844a6fae280c12b8312fe1.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.26172200,-122.10084700,44.28196400,44.19770400
58ff77d86d44aba17fa3b93a916829ca.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
59086dfb027a6ac3493ce4f5dcf92ee36da93c44.xml,Albuquerque,USA,Corvallis,USA,USDA Forest Service;Pacific NW Research Station;3200 SW Jefferson Way,NA,NA,NA,NA
598b5f3e1a3e6aced0d62b4bead1c328.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.7666796,64.67834557
5a18602cdc57227bab66603d054c70d141ab574a.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
5b6b5caf0ba2e0cc02d7e0d35c2ac715.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
5b6f190cfbae36d03b4032e645093d1bf3ff9272.xml,Albuquerque,USA,NA,NA,NA,-72.19,-72.19,+42.53,+42.53
5b96db2ffc476d7cd53dc53918429ac0.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
5bd54c0ce595f24e3da1ff045ccb6ab9e762ac9e.xml,Albuquerque,USA,NA,NA,NA,-72.23,-72.16,+42.45,+42.55
5d75b4a32f8cfba00af568cc793250b9.xml,NA,NA,Albuquerque,NA,"Department of Biology, MSC03 2020, 1 University of New Mexico",NA,NA,NA,NA
5dac15a297ad6fb59f5e8b501791daf0.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
5df423a441ac4c525a8c2ff67f104f7f6b879680.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
5e430127f1af3fdc33b2ae317c8f7264083598ad.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1468545,64.7666796,64.67834557
