name,city_contact,country_contact,city_creator,country_creator,deliveryPoint_creator,west,east,north,south
002b602f989a7b0a1041e62f8c3ef69bdecb4d70.xml,Albuquerque,USA,Santa Barbara,USA,Marine Science Institute,NA,NA,NA,NA
02d6e699a2a4fe1e2db1fc5047310998.xml,Corvallis,USA,NA,NA,NA,NA,NA,NA,NA
036369da6d093620a4d4d2af0cad1804.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.31389,-148.2549125,64.74167,64.69889576
045863cf39b92aeb5ff090113f199a9d5c16c696.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.34493256,-122.00000000,44.39608383,44.00000000
04adca0ea0f389ff4f495771a71a98c3ab69399f.xml,Fairbanks,USA,Brownsville,United States,"Department of Biological Sciences, University of Texas-Brownsville, One West University Blvd, LHSB 2.810",161.44672,161.49712,68.7431,68.75601
054a9b5d155111b01bada561d925f767.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,-122.25714600,-122.12699600,44.28226000,44.20127400
0571e4096d360f8b191038a0477e32d0.xml,Santa Barbara,United States,Santa Barbara,USA,Marine Science Institute,NA,NA,NA,NA
05c881510b0610089e7deb262f386177.xml,Corvallis,USA,NA,NA,NA,NA,NA,NA,NA
0624bf5045ea122e2f79c6851a7f3191.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
06576cd31d20a41dbd7f1b4f29284ef2fff59ba6.xml,Albuquerque,USA,Corvallis,United States,8080 NW Ridgewood Drive,-148.32123,-148.2854,64.76594,64.69559
065b0773cb24cfcab262a062a713d9d6.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
06ac39a8634af42fd7b65ea459ab3bc2.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
07b219c9185a3454a214783ec3184d2921457b42.xml,Albuquerque,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.31389,-148.2549125,64.74167,64.69889576
07bd37c527e825be07151abf835c16c7444baaef.xml,Albuquerque,USA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
07d38004b99cf412412cc4e7762dd36c.xml,Fairbanks,USA,Corvallis,United States,8080 NW Ridgewood Drive,-148.32123,-148.2854,64.76594,64.69559
08adfc44b1fed9f99169b84c7d003d0c.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
09681963d63e37b94ed29402fa24d16cf94d0322.xml,Fairbanks,USA,Fairbanks,United States,Forest Soils Laboratory University of Alaska Fairbanks O'Neill Bldg,-148.3537914,-148.1426888,64.7666796,64.67834557
09879c20be3bfbb08a14614d5a3a42c06300d814.xml,Fairbanks,USA,Corvallis,United States,8080 NW Ridgewood Drive,-149.45,-149.25,60.7333,60.310833
0aa1ea5d95fa5943bfe937c92e3ed1f6.xml,Corvallis,NA,Corvallis,NA,Forest Ecosystems and Society Department in Forestry,NA,NA,NA,NA
0bf098bd60567229de4b939eedae7955.xml,NA,NA,NA,NA,NA,NA,NA,NA,NA
